name,source,location,product_category
Dhruv Polymer Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Gurugram,plastic_intake_manifold
Gopal Harness Industries LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,harness_terminal_connector
Mohan Leaf Spring Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,leaf_spring_assembly
Nitin Sheet Forming Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,sheet_metal_fender
Pratap Sensor Elements Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Bengaluru (Peenya),speed_sensor
Sanjay Bearing Systems Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,needle_bearing
Tushar Chrome Plating Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,chrome_plated_shaft
Vikram Gasket Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,gasket_set
Anil Heat Exchanger Works LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,heat_exchanger_tube
Deepak Die Cast Products Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,die_cast_housing
Girish Weld Fabrication Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,welded_sub_frame
Harish Axle Components Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,rear_axle_shaft
Jagdish Clamp Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,hose_clamp
Laxman Piston Products Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,cast_piston_ring
Mukesh Valve Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,engine_valve_assembly
Naresh Tube Forming Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,precision_drawn_tube
Paras Brake Components LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,brake_disc_assembly
Rakesh Clutch Systems Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Manesar,clutch_plate
Sachin Cam Profiles Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chakan,precision_camshaft
Trilok Flange Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,forged_pipe_flange
Uday Bushing Industries Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,sintered_bushing
Yogesh Rivet Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,tubular_rivet
Ajit Collar Components Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,shaft_locking_collar
Bhanu Coupling Systems Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,flexible_coupling
Chetan Mount Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,anti_vibration_mount
Dinesh Bracket Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,exhaust_bracket
Eshan Alloy Castings LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,aluminium_alloy_casting
Gokul Hub Components Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,wheel_hub_assembly
Hitesh Link Rod Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,stabiliser_link_rod
Jatin Pin Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,dowel_pin
Kunal Washer Products Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,spring_lock_washer
Lokesh Shaft Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,transmission_input_shaft
Manish Filter Systems Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Gurugram,oil_filter_element
Nikhil Wheel Components Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,wheel_rim_blank
Pankaj Nut Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,flanged_hex_nut
Rajiv Surface Coating Industries LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,powder_coated_part
Sandeep Weld Mesh Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Sonipat,welded_wire_mesh
Tejas Metal Stamping Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,stamped_door_hinge
Ujjwal Die Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,progressive_die_component
Vivek Forge Masters Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chakan,forged_suspension_arm
Akash Precision Bearings Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,tapered_roller_bearing
Brijesh Plating Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,nickel_plated_terminal
Devendra Seal Ring Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,o_ring_seal
Govind Spring Products Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,disc_spring
Harsh Sheet Press Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,pressed_sheet_bracket
Ishan Tube Fitting Industries LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,hydraulic_tube_fitting
Jayant Casting Alloys Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,grey_iron_casting
Keshav Mould Tech Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,injection_mould_component
Lalit Sensor Module Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Bengaluru (Peenya),throttle_position_sensor
Milind Harness Connector Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,automotive_wire_connector
Neeraj Forge Components Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chakan,forged_gear_blank
Pranav Rubber Seal Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,rubber_oil_seal
Ritesh Chrome Parts Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,chrome_plated_bumper_strip
Siddharth Thermal Systems Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Manesar,exhaust_heat_shield
Ujjain Valve Seats Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Indore,sintered_valve_seat
Viraj Press Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,stamped_cross_member
Amar Precision Shafts LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,ground_camshaft
Bhargav Clutch Plate Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,friction_clutch_disc
Chiranjeev Brake Drum Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,cast_brake_drum
Darshan Wiring Systems Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Gurugram,engine_wiring_loom
Eklavya Forged Rings Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chakan,seamless_rolled_ring
Firoz Metal Products Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Aurangabad,precision_sheet_metal_part
Ganpat Spring Steel Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,torsion_bar_spring
Himal Polymer Moulding Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,moulded_dashboard_clip
Indrajit Gear Cutting Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,helical_gear
Jagat Fastener Works Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,socket_head_cap_screw
Ketan Axle Forge Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,forged_front_axle_beam
Lohit Plating Industries LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,hard_chrome_plated_rod
Madhav Rubber Components Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,rubber_suspension_bush
Nakul Cast Iron Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,cast_iron_flywheel
Omesh Stamping Products Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,stamped_bonnet_panel
Param Precision Boring Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,bored_cylinder_sleeve
Raghav Wire Form Works Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,wire_form_clip
Sahil Spring Coiling Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,tension_spring
Trilokesh Surface Treatment Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,anodised_aluminium_part
Uttam Flange Forge Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chakan,forged_weld_neck_flange
Vaibhav Sensor Probe Works LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Bengaluru (Peenya),exhaust_gas_temperature_sensor
Yash Coupling Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,universal_joint_coupling
Amol Sheet Forming Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,deep_drawn_sheet_cup
Bhupesh Die Casting Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,pressure_die_cast_cover
Chirayu Bearing Housing Works Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,plummer_block_housing
Devraj Rubber Gasket Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,rubber_exhaust_gasket
Ekant Bolt Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,high_strength_stud_bolt
Ganesh Piston Ring Works LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,chrome_piston_ring
Hari Weld Fabricators Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Sonipat,welded_chassis_bracket
Ishaan Cam Follower Products Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,roller_cam_follower
Janak Thermal Insulation Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Manesar,thermal_barrier_coating_part
Kartik Press Tools Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,progressive_press_tool
Lohith Hub Assembly Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,front_wheel_hub
Manoj Filter Element Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Gurugram,cabin_air_filter
Narayan Brake Liner Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,moulded_brake_lining
Omesh Forging Products Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chakan,closed_die_forging
Prasad Wire Drawing Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,drawn_steel_wire
Ratnesh Plating Solutions LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,electro_galvanised_part
Shyam Bushing Products Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,bronze_bush
Trimurti Alloy Forge Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,forged_alloy_steel_part
Unmesh Gasket Cut Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,die_cut_gasket
Vedant Sensor Assembly Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Bengaluru (Peenya),abs_wheel_speed_sensor
Yuvraj Spring Coil Industries Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,valve_spring
Avinash Sheet Metal Press Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,stamped_floor_panel
Bipin Rubber Compound Works LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,rubber_compound_mix
Chandrashekhar Precision Grinding Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,precision_ground_gauge
Digvijay Casting Solutions Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,investment_casting
Eshwar Fastener Products Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,self_tapping_screw
Govardhan Metal Stamping Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,stamped_engine_bracket
Hemraj Moulded Parts Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Gurugram,moulded_cable_gland
Inder Forge Enterprises Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,drop_forged_hook
Jagmohan Wire Rope Products Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,wire_rope_sling
Kanhaiya Bearing Cap Works LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,bearing_end_cap
Lokendra Brake Pad Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,semi_metallic_brake_pad
Madhur Seal Ring Components Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,mechanical_seal_face
Nishant Stamped Panel Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,stamped_roof_panel
Onkar Tube Bending Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,bent_exhaust_tube
Parth Electroplated Parts Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,tin_plated_connector_pin
Ravi Polymer Extrusion Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,extruded_rubber_profile
Sushil Cam Lobe Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,induction_hardened_cam_lobe
Triveni Clamp Assembly Works Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,exhaust_clamp_assembly
Utsav Forged Flange Products LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chakan,slip_on_flange
Venkat Gear Box Parts Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,gear_box_casing
Yashwant Spring Lock Products Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,spring_loaded_lock_pin
Abhay Metal Cutting Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,laser_cut_sheet_part
Bhavesh Rubber Belt Industries Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,timing_belt
Chinmay Cast Aluminium Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,gravity_cast_aluminium_part
Dipesh Wiring Loom Products Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Gurugram,body_wiring_loom
Girija Forge Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,open_die_forging
Hansraj Surface Finish Works LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,electro_polished_part
Ishwar Piston Assembly Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,piston_assembly_kit
Jitendra Pressed Part Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,pressed_mounting_bracket
Kamal Bearing Sleeve Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,bearing_sleeve
Laxmikant Spring Clip Products Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,retaining_spring_clip
Mithun Thermal Pad Industries Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Manesar,thermal_interface_pad
Narendra Bolt Forge Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,forged_anchor_bolt
Piyush Sensor Housing Works LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Bengaluru (Peenya),sensor_enclosure
Ramprasad Sheet Cutting Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,plasma_cut_plate
Satish Valve Guide Industries Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,cast_valve_guide
Tirth Rubber Mould Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,compression_mould_rubber_part
Uddhav Forged Ring Products Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chakan,forged_bearing_race
Vishesh Chrome Shaft Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,chrome_plated_piston_rod
Yogendra Wire Harness Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,tail_lamp_harness
Ankit Precision Gear Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,bevel_gear
Bhagwat Stamping Solutions LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,fine_blanked_part
Chitranjan Casting Products Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,shell_mould_casting
Devang Rubber Vibration Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,rubber_vibration_damper
Ghanshyam Axle Tube Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,welded_axle_tube
Himanshu Polymer Seal Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Gurugram,ptfe_seal_ring
Ikshit Metal Forming Industries Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,roll_formed_section
Jignesh Brake Rotor Casting Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,ventilated_brake_rotor
Kedar Fastener Thread Works Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,thread_rolled_stud
Liladhar Sheet Bend Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,cnc_bent_sheet_part
Mitesh Bearing Retainer Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,bearing_cage_retainer
Nagesh Weld Rod Products LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Sonipat,mild_steel_welding_rod
Prashant Forge Ring Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,forged_synchroniser_ring
Rajendra Polymer Tube Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Chennai,reinforced_polymer_tube
Shankar Die Tool Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Coimbatore,transfer_die_tool
Trilokeshwar Thermal Coating Works Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,plasma_sprayed_coating
Ulhas Cast Component Industries Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,centrifugal_cast_liner
Vipul Spring Washer Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,belleville_spring_washer
Yuvaan Sheet Metal Forming LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,hydro_formed_panel
Adesh Rubber Diaphragm Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,moulded_rubber_diaphragm
Bhalchandra Precision Sleeve Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,precision_ground_sleeve
Chaitanya Harness Tape Products Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,pvc_harness_tape
Dharmendra Alloy Wheel Parts Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Aurangabad,alloy_wheel_blank
Ganpati Electrocoating Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Pune,electro_coat_primer_part
Hariom Press Brake Works Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Faridabad,press_brake_formed_channel
Ishvak Forged Stub Axle Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Jamshedpur,forged_stub_axle
Jaideep Cast Rotor Industries LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Rajkot,cast_iron_rotor_disc
Krishnakant Bolt Thread Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ludhiana,threaded_stud_bolt
Surya Pharma Intermediates Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Vadodara,api_intermediate_bulk
Vaidya Chem Works Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,excipient_starch_derivative
Dhanvantri Drug Formulations LLP,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Baddi,tablet_excipient_blend
Sushrut Pharma Packaging Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Indore,pharma_blister_pack
Charak Excipient Industries Private Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Vadodara,microcrystalline_cellulose
Aushad Chemical Works Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,api_synthesis_intermediate
Rishi Pharma Pack Udyog Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Baddi,pharma_hdpe_bottle
Jivak API Intermediates Pvt Ltd,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Vadodara,pyrimidine_intermediate
Sanjeevani Drug Products Enterprises,composed — fictional follows Indian MSME naming conventions; not an existing registered entity,Ahmedabad,tablet_coating_material
